id,nombre,pais_ciudad,latitud,longitud,anio_fundacion,descripcion,sitio_web
26,Anheuser-Busch,Estados Unidos - St. Louis (Missouri),38.6270,-90.1994,1852,"Histórica cervecera estadounidense fundada por los inmigrantes alemanes. Productora de Budweiser, una de las lagers más vendidas del mundo.",https://www.budweiser.com
27,Paulaner Brauerei,Alemania - Múnich,48.1351,11.5820,1634,Cervecera tradicional de Múnich fundada por monjes paulinos. Famosa por sus cervezas de trigo y su tradición centenaria en la elaboración.,https://www.paulaner.com
28,Spaten-Franziskaner,Alemania - Múnich,48.1351,11.5820,1363,Una de las cerveceras más antiguas de Múnich. Reconocida por sus cervezas de trigo tradicionales bávaras de alta calidad.,https://www.franziskaner-weissbier.de
29,AB InBev (Hoegaarden),Bélgica - Hoegaarden,50.7750,4.8883,1445,Cervecera belga histórica conocida por su cerveza de trigo blanca con especias. Refundada en 1966 tras años de cierre.,https://www.hoegaarden.com
30,AB InBev (Leffe),Bélgica - Dinant,50.2603,4.9125,1240,Cerveza de abadía belga con casi 800 años de tradición. Elaborada originalmente por monjes en la Abadía de Leffe.,https://www.leffe.com
31,Chimay Brewery,Bélgica - Chimay,50.0483,4.3167,1862,Cervecera trapense belga situada en la Abadía de Scourmont. Una de las pocas cerveceras trapenses auténticas del mundo.,https://www.chimay.com
32,Duvel Moortgat,Bélgica - Breendonk,51.0600,4.3500,1871,Cervecera familiar belga reconocida mundialmente por Duvel. Elabora cervezas de alta fermentación de calidad excepcional.,https://www.duvel.com
33,BrewDog,Escocia - Ellon (Aberdeenshire),57.3667,-2.0667,2007,Cervecera craft escocesa fundada por James Watt y Martin Dickie. Revolucionó el mercado británico con sus IPAs agresivas y marketing innovador.,https://www.brewdog.com
34,Sierra Nevada Brewing,Estados Unidos - Chico (California),39.7285,-121.8375,1980,"Cervecera artesanal pionera en California fundada por Ken Grossman. Reconocida por su Pale Ale, referencia del estilo americano.",https://www.sierranevada.com
35,Lagunitas Brewing,Estados Unidos - Petaluma (California),38.2324,-122.6367,1993,Cervecera californiana fundada por Tony Magee. Conocida por su IPA y su cultura irreverente. Parte del grupo Heineken desde 2017.,https://lagunitas.com
36,Stone Brewing,Estados Unidos - Escondido (California),33.1192,-117.0864,1996,Cervecera craft californiana fundada por Greg Koch y Steve Wagner. Pionera en el estilo West Coast IPA y cervezas extremas.,https://www.stonebrewing.com
37,Goose Island Beer Co,Estados Unidos - Chicago (Illinois),41.8781,-87.6298,1988,Cervecera de Chicago fundada por John Hall. Conocida por sus cervezas de barrica bourbon. Parte de AB InBev desde 2011.,https://www.gooseisland.com
38,Brooklyn Brewery,Estados Unidos - Brooklyn (Nueva York),40.6782,-73.9442,1988,Cervecera icónica de Brooklyn fundada por Steve Hindy y Tom Potter. Símbolo de la revolución craft estadounidense.,https://www.brooklynbrewery.com
39,MillerCoors (Blue Moon),Estados Unidos - Denver (Colorado),39.7392,-104.9903,1995,"Marca de cerveza de trigo creada por Keith Villa en Denver. Parte de Molson Coors, popularizó el estilo Belgian White en EE.UU.",https://www.bluemoonbrewingcompany.com
40,Boston Beer Company,Estados Unidos - Boston (Massachusetts),42.3601,-71.0589,1984,"Cervecera estadounidense fundada por Jim Koch. Productora de Samuel Adams, pionera del renacimiento cervecero artesanal en EE.UU.",https://www.samueladams.com
41,Carlsberg Group,Dinamarca - Copenhague,55.6761,12.5683,1847,Cervecera danesa fundada por J.C. Jacobsen. Una de las cerveceras más grandes del mundo con presencia en más de 150 países.,https://www.carlsberg.com
